ID,序号,英文循环名,中文循环名,英文卡包名,中文卡包名,英文名称,中文名称,英文文本,中文文本,英文风味文字,中文风味文字,英文阵营,中文阵营,英文派系,中文派系,英文类型,中文类型,英文子类型,中文子类型,是否独有,构筑张数限制,推进需求,议案分数,基础中转,牌组最小张数,牌组影响力上限,费用,强度,内存费用,销毁费用,影响力费用,卡图作者
00005,5,Draft,轮抽系列,Draft,轮抽系列,The Shadow: Pulling the Strings,幽影: 暗中操纵,"Draft format only.
You can use agendas from all factions in this deck.","轮抽赛制限定。
你在本牌组中可以使用所有派系的议案。",The Past is the Future.,过往即未来。,Corp,公司,Neutral Corp,中立公司,Corp Identity,公司特性,Megacorp,巨型公司,,1,,,,30,,,,,,,Sławomir Maniak
00006,6,Draft,轮抽系列,Draft,轮抽系列,The Masque: Cyber General,假面: 赛博将领,Draft format only.,轮抽赛制限定。,"""This war is far from over.""",“这场战争远未结束。”,Runner,潜袭者,Neutral Runner,中立潜袭者,Runner Identity,潜袭者特性,Natural,原生人,,1,,,0,30,,,,,,,Imaginary FS Pte Ltd
00007,7,Draft,轮抽系列,Draft,轮抽系列,Wyvern: Chemically Enhanced,翼龙: 药剂强化,"Draft format only.
You must maintain the order of your heap.
Whenever you trash a Corp card, if you have more [anarch] cards installed than any other faction, shuffle the top card of your heap into your stack.","轮抽赛制限定。
如果你具有已安装的[anarch]卡牌多于其它任何派系，则每当你销毁一张公司卡牌时，将你堆阵顶端的一张卡牌洗入你的存储栈。",,,Runner,潜袭者,Anarch,反叛者,Runner Identity,潜袭者特性,G-mod,转基因人,,1,,,0,30,,,,,,,Rachel Borovic
00008,8,Draft,轮抽系列,Draft,轮抽系列,"Boris ""Syfr"" Kovac: Crafty Veteran",鲍里斯·“暗码”·科瓦奇: 诡诈老手,"Draft format only.
If you have more [criminal] cards installed than any other faction, when your turn begins, remove 1 tag.","轮抽赛制限定。
如果你具有已安装的[criminal]卡牌多于其它任何派系，则当你的回合开始时，移除1枚锁定标记。",,,Runner,潜袭者,Criminal,逆法者,Runner Identity,潜袭者特性,Cyborg,半机械人,,1,,,0,30,,,,,,,Clark Huggins
00009,9,Draft,轮抽系列,Draft,轮抽系列,"Jamie ""Bzzz"" Micken: Techno Savant",杰米·“嗡嗡”·麦肯: 科技博学者,"Draft format only.
If you have more [shaper] cards installed than any other faction, when you install a card the first time each turn, draw 1 card.","轮抽赛制限定。
如果你具有已安装的[shaper]卡牌多于其它任何派系，则当你每回合第一次安装一张卡牌时，补一张卡牌。",,,Runner,潜袭者,Shaper,塑造者,Runner Identity,潜袭者特性,Natural,原生人,,1,,,0,30,,,,,,,Ralph Beisner
00010,10,Draft,轮抽系列,Draft,轮抽系列,Strategic Innovations: Future Forward,战略创新: 未来向前,"Draft format only.
If you have more [haas-bioroid] cards rezzed than any other faction, when the Runner's turn ends, shuffle 1 card in Archives into R&D.","轮抽赛制限定。
如果你具有已激活的[haas-bioroid]卡牌多于其它任何派系，则当潜袭者的回合结束时，将一张卡牌从档案库洗入研发中心。",,,Corp,公司,Haas-Bioroid,哈斯生化,Corp Identity,公司特性,Division,部门,,1,,,,30,,,,,,,Timothy Ben Zweifel
00011,11,Draft,轮抽系列,Draft,轮抽系列,Synthetic Systems: The World Re-imagined,合成系统: 世界重构,"Draft format only.
If you have more [jinteki] cards rezzed than any other faction, when your turn begins, you may swap 2 pieces of installed ice.","轮抽赛制限定。
如果你具有已激活的[jinteki]卡牌多于其它任何派系，则当你的回合开始时，你可以将两层已安装的防火墙互换。",,,Corp,公司,Jinteki,人间会社,Corp Identity,公司特性,Division,部门,,1,,,,30,,,,,,,Emilio Rodríguez
00012,12,Draft,轮抽系列,Draft,轮抽系列,Information Dynamics: All You Need To Know,信息动力: 你需知的一切,"Draft format only.
If you have more [nbn] cards rezzed than any other faction, whenever an agenda is scored or stolen, give the runner 1 tag.","轮抽赛制限定。
如果你具有已激活的[nbn]卡牌多于其它任何派系，则每当一个议案被计分或窃取时，给予潜袭者1枚锁定标记。",,,Corp,公司,NBN,网际传媒,Corp Identity,公司特性,Division,部门,,1,,,,30,,,,,,,Amelie Hutt
00013,13,Draft,轮抽系列,Draft,轮抽系列,"Fringe Applications: Tomorrow, Today",边缘应用: 明日今天,"Draft format only.
If you have more [weyland-consortium] cards rezzed than any other faction, when the Runner's turn begins, place an advancement token on a piece of ice.","轮抽赛制限定。
如果你具有已激活的[weyland-consortium]卡牌多于其它任何派系，则当潜袭者的回合开始时，放置1枚推进标记到一层防火墙上。",,,Corp,公司,Weyland Consortium,威兰财团,Corp Identity,公司特性,Division,部门,,1,,,,30,,,,,,,Emilio Rodríguez
01001,1,Core Set,核心系列,Core Set,核心系列,Noise: Hacker Extraordinaire,噪音: 超凡黑客,"Whenever you install a <strong>virus</strong> program, the Corp trashes the top card of R&D.",每当你安装一个<strong>病毒</strong>程序时，公司销毁研发中心顶端的一张卡牌。,"""Watch this. It'll be funny.""",“看着，这会很有趣哦。”,Runner,潜袭者,Anarch,反叛者,Runner Identity,潜袭者特性,G-mod,转基因人,,1,,,0,45,15,,,,,,Ralph Beisner
