NRDB编号,循环,卡包,序号,英文名称,名称,文本,风味文字,阵营,派系,类型,子类型,是否独有,构筑张数限制,推进需求,议案分数,基础中转,牌组最小张数,牌组影响力上限,费用,强度,内存费用,销毁费用,影响力费用,卡图作者
26001,余烬,坍落,1,Isolation,隔离,"作为打出本事件的额外费用，销毁1个已安装的资源。
获得7[credit]。",孤独的日子一天天过去，星子愈发觉得思绪受到阻滞。时间一点点流逝，静电的噪音愈发刺耳。,潜袭者,反叛者,事件,,,3,,,,,,2,,,,1,Photo Tammy Gann Unsplash. Deep Dream
26002,余烬,坍落,2,Demolisher,毁坏者,"+1[mu]
所有公司卡牌的销毁费用减1。
每回合你第一次销毁一张公司卡牌时，获得1[credit]。
每位玩家限制1个<strong>控制台</strong>。","步骤1: 应用于问题。
步骤2: 不再有问题！",潜袭者,反叛者,硬件,控制台,是,3,,,,,,4,,,,2,Olie Boldador
26003,余烬,坍落,3,Chisel,凿子,"仅能安装在一层防火墙上。
本程序上每有1枚病毒指示物，被附载的防火墙的强度-1。
每当你遭遇被附载的防火墙时，如果其强度等于或小于0，销毁之。否则，放置1枚病毒指示物到本程序上。",*嗒* *嗒* *嗒*,潜袭者,反叛者,程序,木马 - 病毒,,3,,,,,,2,,1,,4,Krembler
26004,余烬,坍落,4,Stargate,星门,每回合限一次 → <strong>[click]:</strong> 潜袭研发中心。如果成功，展示研发中心顶端的3张卡牌，代替侵入研发中心。销毁所展示的卡牌中的1张。,"“网域中的空间是一个抽象概念，是为了照顾理解力脆弱的人们而编造出的善意谎言。不要自我设限。”
—z\h/r",潜袭者,反叛者,程序,,,3,,,,,,4,,2,,3,Iain Fairclough
26005,余烬,坍落,5,Utae,歌唱,"对接 → <strong>X[credit]:</strong> 破解X条<strong>门禁</strong>子进程。本能力每次潜袭仅限使用一次。
对接 → <strong>1[credit]:</strong> 破解1条<strong>门禁</strong>子进程。仅能在你有3个或更多已安装的<strong>虚拟</strong>资源时使用本能力。
<strong>1[credit]:</strong> 强度+1。",唱吧，向心而行一展歌喉！,潜袭者,反叛者,程序,解码模块 - 破解器,,3,,,,,,2,1,1,,2,McGregor T. Crowley
26006,余烬,坍落,6,Climactic Showdown,巅峰对决,当你的回合开始时，将本资源移出游戏。选择一台有防火墙保护的服务器。公司可以销毁1层保护该服务器的防火墙。如果其未如此做，本回合你第一次侵入总部或研发中心时，额外读取2张卡牌。,,潜袭者,反叛者,资源,,是,3,,,,,,2,,,,5,Diana Simonova (Antheia Vaulor)
26007,余烬,坍落,7,Fencer Fueno,剑术师弗恩诺,"当你的回合开始及你窃取一个议案时，放置1[credit]到本资源上。
每当你进行一次成功的潜袭时，你可以在本次潜袭的剩余时间内花费所附载的信用点。
当你的回合结束时，如果所附载的信用点有3个或更多，你必须支付1[credit]或者销毁本资源。",挚友击破坚冰。,潜袭者,反叛者,资源,同伴 - 虚拟,是,3,,,,,,0,,,,1,Izzy Pruett
26008,余烬,坍落,8,The Nihilist,行乐之人,"每回合你第一次安装一个<strong>病毒</strong>程序时，放置2个病毒指示物到本资源上。
当你的回合开始时，你可以从你已安装的卡牌上移除任意2枚病毒指示物。如果你如此做，抽2张卡牌，除非公司销毁研发中心顶端的卡牌。",“……至少<em>我</em>笑了。”,潜袭者,反叛者,资源,人脉 - 低劣,是,3,,,,,,4,,,,5,Wyn Lacabra
26009,余烬,坍落,9,Trickster Taka,诡术师塔卡,"当你的回合开始时及你窃取一个议案时，放置1[credit]到本资源上。
你可以花费所附载的信用点以在潜袭中使用程序。
当你的回合结束时，如果所附载的信用点有3个或更多，你必须拿取1枚锁定标记或者销毁本资源。",挚友藏惧之形。,潜袭者,反叛者,资源,同伴 - 隐匿 - 虚拟,是,3,,,,,,1,,,,3,Izzy Pruett
26010,余烬,坍落,10,Az McCaffrey: Mechanical Prodigy,阿兹·麦卡弗瑞: 机械奇才,每回合你安装的第一个<strong>工作</strong>资源、<strong>人脉</strong>资源或硬件的安装费用减1[credit]。,“你没在听。”,潜袭者,逆法者,潜袭者特性,半机械人,,1,,,1,45,15,,,,,,Luminita Pham
